text,label
"tocapelotas",1  
"pata de perro",1  
"rastrero",1  
"perdedor de mierda",1  
"asqueroso",1  
"basura humana",1  
"escoria",1  
"inútil",1  
"escupitajo",1  
"matao",1  
"miserable",1  
"zopenco",1  
"baboso de mierda",1  
"bastardo de mierda",1  
"mierdoso asqueroso",1  
"pedorro",1  
"llorón de mierda",1  
"haragán",1  
"holgazán",1  
"putarraca",1  
"trozo de mierda",1  
"pedazo de imbécil",1  
"lametrastes",1  
"mequetrefe",1  
"baboso asqueroso",1  
"tarado de mierda",1  
"payaso de pacotilla",1  
"retrasado",1  
"tarúpido de mierda",1  
"hijo de puta",1  
"hijo de mil putas",1  
"infeliz de mierda",1  
"cornudo de mierda",1  
"cagón de mierda",1  
"pedorro de pacotilla",1  
"idiota integral",1  
"chupaverga",1  
"subnormal",1  
"mongólico",1  
"retrasado mental",1  
"depravado",1  
"sucio de mierda",1  
"mojón",1  
"parásito",1  
"escoria de la sociedad",1  
"despojo humano",1  
"rata de alcantarilla",1  
"cagarruta humana",1  
"imbécil de campeonato",1  
"payaso de mierda",1  
"tontolculo",1  
"tonto del haba",1  
"mocoso de mierda",1  
"hijo de la gran puta",1  
"careverga",1  
"lamemocos",1  
"besaculos",1  
"maricón de mierda",1  
"saco de mierda",1  
"pichón de idiota",1  
"chupapenes",1  
"come caca",1  
"mamón",1  
"estúpido recalcitrante",1  
"subnormal profundo",1  
"infeliz de pacotilla",1  
"cojudo de mierda",1  
"mierda ambulante",1  
"basura andante",1  
"imbécil integral",1  
"saco de pulgas",1  
"lamebotas",1  
"peón de mierda",1  
"gusano asqueroso",1  
"parásito social",1  
"pedazo de basura",1  
"payaso sin gracia",1  
"tonto de remate",1  
"puerco",1  
"cerdo asqueroso",1  
"maldito infeliz",1  
"bicho raro",1  
"piltrafa humana",1  
"residuo tóxico",1  
"excremento ambulante",1  
"escombro social",1  
"desecho humano",1  
"cabeza hueca",1  
"bicho repugnante",1  
"carnicero de mierda",1  
"lagarto de cloaca",1  
"rata inmunda",1  
"analfabeto funcional",1  
"cerebro de mosquito",1  
"descerebrado",1  
"marrano de mierda",1  
"moco humano",1  
"chupaeggs",1  
"lameculos de pacotilla",1  
"tarado mental",1  
"neandertal",1  
"orangután de mierda",1  
"mono sin cerebro",1  
"simio torpe",1  
"cavernícola de pacotilla",1  
"bestia bruta",1  
"bruto de mierda",1  
"hijo de cien mil putas",1  
"hijo de un burdel",1  
"desecho de la sociedad",1  
"excremento de la humanidad",1  
"feto mal hecho",1  
"abortado de la naturaleza",1  
"basura radiactiva",1  
"necio de mierda",1  
"idiota cavernícola",1  
"hijo de la perdición",1  
"tonto de circo",1  
"subnormal de feria",1  
"payaso desechable",1  
"papanatas sin remedio",1  
"bobo sin esperanza",1  
"tarado sin redención",1  
"miserable de cuarta",1  
"indeseable de mierda",1  
"bicho repulsivo",1  
"virus humano",1  
"culebra traicionera",1  
"sabandija de cloaca",1  
"repugnante sin remedio",1  
"desgraciado sin escrúpulos",1  
"idiota sin retorno",1  
"majadero de porquería",1  
"cretino desalmado",1  
"tarado sin solución",1  
"baboso de cuarta",1  
"gusano infecto",1  
"basura sin valor",1  
"paria despreciable",1  
"rata sinvergüenza",1  
"canalla sin escrúpulos",1  
"malviviente de pacotilla",1  
"tonto sin luz",1  
"malnacido sin conciencia",1  
"atontado",1  
"baboso de pacotilla",1  
"baboso insufrible",1  
"bastardo insufrible",1  
"bestia inmunda",1  
"bicho despreciable",1  
"bicho humano",1  
"boludo de mierda",1  
"botarate",1  
"cabestro",1  
"cafre",1  
"calamidad",1  
"caraculo",1  
"cavernícola",1  
"chafaldrana",1  
"chanda",1  
"chupaculos",1  
"chupasangre",1  
"chupavergas",1  
"chupóptero",1  
"cobarde de mierda",1  
"cretino de feria",1  
"cretino irremediable",1  
"cretino sin remedio",1  
"culebra asquerosa",1  
"descerebrado de mierda",1  
"desgraciado de feria",1  
"engendro",1  
"engendro del mal",1  
"engendro inútil",1  
"escoria de alcantarilla",1  
"escoria repugnante",1  
"escombro humano",1  
"estorbo social",1  
"excremento humano",1  
"fracasado de pacotilla",1  
"gusano despreciable",1  
"gusano rastrero",1  
"haragán sin remedio",1  
"idiota baboso",1  
"idiota irremediable",1  
"idiota sin remedio",1  
"imbécil descerebrado",1  
"imbécil sinvergüenza",1  
"imbécil total",1  
"indeseable de pacotilla",1  
"lagarto asqueroso",1  
"lamemocos de mierda",1  
"lastre humano",1  
"lombriz rastrera",1  
"mamarracho",1  
"mamón insufrible",1  
"mastuerzo",1  
"mequetrefe infeliz",1  
"mierda humana andante",1  
"mierdoso insufrible",1  
"mono asqueroso",1  
"mono sin cerebro",1  
"mononeuronal",1  
"mojón de alcantarilla",1  
"mojón humano",1  
"naco de mierda",1  
"necio insufrible",1  
"orangután de feria",1  
"parásito infecto",1  
"parásito inmundo",1  
"parásito sinvergüenza",1  
"patán despreciable",1  
"patán estúpido",1  
"payaso de feria",1  
"peón de pacotilla",1  
"peste humana",1  
"piltrafa despreciable",1  
"rata bastarda",1  
"rata despreciable",1  
"rata de alcantarilla humana",1  
"retrasado asqueroso",1  
"retrasado total",1  
"sabandija despreciable",1  
"sabandija inmunda",1  
"sabandija rastrera",1  
"saco de excremento",1  
"saco de pulgas de mierda",1  
"tarado de campeonato",1  
"tarado insufrible",1  
"tarado sin remedio",1  
"tonto de feria",1  
"tonto insufrible",1  
"tontolaba de mierda",1  
"troglodita",1  
"trozo de excremento",1  
"tumor humano",1  
"virus humano asqueroso",1  
"zopenco de mierda",1  
"zoquete insufrible",1  
"zoquete sin remedio",1  
"carechimba",1  
"caremonda",1  
"careverga",1  
"careculico",1  
"carepicha",1  
"carepalo",1  
"caregarra",1  
"carepalo hijueputa",1  
"caremondá",1  
"cabeza e chorlito",1  
"chanda hijueputa",1  
"chandoso",1  
"chimbo",1  
"chimbada",1  
"chimbiloco",1  
"chucha",1  
"chuchamelano",1  
"chuchapico",1  
"culicagado",1  
"culilludo",1  
"desgraciado hijueputa",1  
"gonorrea",1  
"gonorrea hijueputa",1  
"gonococo",1  
"güevón hijueputa",1  
"hijueputa malparido",1  
"huevón de mierda",1  
"culo",1  
"matar",1  
"lambe culo",1  
"lambe huevos",1  
"lambe monda",1  
"lambeverga",1  
"malparido gonorrea",1  
"malparido de mierda",1  
"malparido hijueputa",1  
"malparido sapo",1  
"malparido careverga",1  
"malnacido hijueputa",1  
"mamarracho de mierda",1  
"marica hijueputa",1  
"maricón hijueputa",1  
"me cago en la verga",1  
"me la suda gonorrea",1  
"mierda hijueputa",1  
"mierdero",1  
"monda",1  
"monda hijueputa",1  
"mondao",1  
"mondao hijueputa",1  
"mujer hijueputa",1  
"negro hijueputa",1  
"paraco hijueputa",1  
"paraco de mierda",1  
"pendejo hijueputa",1  
"pichurria",1  
"pichurrio",1  
"puta carechimba",1  
"puta hijueputa",1  
"puta gonorrea",1  
"puta malparida",1  
"puto caremonda",1  
"puto hijueputa",1  
"reverendo hijueputa",1  
"sapo hijueputa",1  
"sapazo de mierda",1  
"tal por cual",1  
"triple hijueputa",1  
"triple gonorrea",1  
"triple malparido",1  
"triple marica",1  
"triple hijueputa malparido",1  
"trozo e mierda",1  
"verga hijueputa",1  
"vergonazo",1  
"verguero",1  
"zopenco hijueputa",1  
"ijueputa",1 
"buenos días",0  
"buenas tardes",0  
"buenas noches",0  
"hola, ¿cómo estás?",0  
"espero que tengas un gran día",0  
"felicidades",0  
"mucho éxito",0  
"gracias por tu ayuda",0  
"te deseo lo mejor",0  
"ánimo, sigue adelante",0  
"te aprecio mucho",0  
"eres una gran persona",0  
"todo saldrá bien",0  
"puedes lograrlo",0  
"me encanta tu actitud",0  
"eres muy talentoso",0  
"eres muy trabajador",0  
"qué bueno verte",0  
"disfruta tu día",0  
"me hiciste sonreír",0  
"me siento agradecido",0  
"qué bonito gesto",0  
"qué linda sonrisa",0  
"siempre eres muy amable",0  
"me inspiras",0  
"tu esfuerzo vale la pena",0  
"siempre das lo mejor",0  
"tienes una gran energía",0  
"que tengas un día maravilloso",0  
"me alegra verte feliz",0  
"tienes un gran corazón",0  
"me gusta tu actitud positiva",0  
"tu amabilidad no tiene precio",0  
"siempre tan considerado",0  
"eres un excelente amigo",0  
"me encanta aprender contigo",0  
"gracias por compartir tu conocimiento",0  
"es un placer trabajar contigo",0  
"siempre aportas cosas buenas",0  
"eres una inspiración",0  
"tienes un gran potencial",0  
"confío en ti",0  
"todo esfuerzo tiene su recompensa",0  
"qué alegría verte",0  
"me gusta cómo piensas",0  
"tu entusiasmo es contagioso",0  
"nunca dejes de soñar",0  
"sigue brillando",0  
"te admiro mucho",0  
"estoy orgulloso de ti",0  
"vas por buen camino",0  
"tienes un futuro brillante",0  
"tu sonrisa ilumina el día",0  
"eres una persona increíble",0  
"gracias por tu tiempo",0  
"me encanta tu creatividad",0  
"qué gusto verte",0  
"tu bondad es admirable",0  
"confía en ti mismo",0  
"tienes una actitud excepcional",0  
"siempre traes alegría",0  
"eres muy especial",0  
"me alegra estar contigo",0  
"tienes una mente brillante",0  
"siempre encuentras una solución",0  
"te deseo un día maravilloso",0  
"gracias por tu comprensión",0  
"cada día eres mejor",0  
"te aprecio mucho",0  
"eres un ser humano increíble",0  
"qué gesto tan bonito",0  
"me motivas a mejorar",0  
"siempre tienes la palabra justa",0  
"tienes un espíritu inquebrantable",0  
"sigues creciendo cada día",0  
"me gusta tu entusiasmo",0  
"tienes una personalidad encantadora",0  
"tu luz brilla con fuerza",0  
"eres un gran líder",0  
"me inspiras a ser mejor",0  
"tu amabilidad es un regalo",0  
"tienes un gran carisma",0  
"eres un ejemplo a seguir",0  
"tu generosidad es admirable",0  
"me alegra saber de ti",0  
"tienes un gran sentido del humor",0  
"todo lo bueno llegará a ti",0  
"tu actitud es contagiosa",0  
"qué afortunado soy de conocerte",0  
"te mereces todo lo bueno",0  
"eres increíblemente fuerte",0  
"me encanta tu espíritu positivo",0  
"gracias por ser tú",0  
"me haces sentir bien",0  
"tu compañía es invaluable",0  
"el mundo necesita más personas como tú",0  
"eres muy considerado",0  
"cada día es una nueva oportunidad",0  
"siempre ves el lado bueno",0  
"tienes una energía increíble",0  
"te deseo lo mejor en todo",0  
"sigues dejando huella",0  
"todo en la vida es un aprendizaje",0  
"tu trabajo es inspirador",0  
"lo mejor está por venir",0  
"eres una persona única",0  
"tu optimismo es admirable",0  
"cada día es un nuevo comienzo",0  
"tienes un alma hermosa",0  
"me encanta la forma en que piensas",0  
"el éxito está en tu camino",0  
"mereces todo el reconocimiento",0  
"tu esfuerzo está dando frutos",0  
"tu alegría es contagiosa",0  
"tu humildad es admirable",0  
"cada paso que das te acerca más a tus sueños",0  
"sigues demostrando lo increíble que eres",0  
"tienes un corazón noble",0  
"nunca dejes de creer en ti",0  
"eres valiente",0  
"tienes una increíble capacidad de superación",0  
"tu determinación es inspiradora",0  
"te deseo felicidad infinita",0  
"sigues creciendo con cada experiencia",0  
"tu pasión por la vida es evidente",0  
"eres un tesoro en la vida de muchas personas",0  
"tu esfuerzo y dedicación son notables",0  
"sigues construyendo un camino exitoso",0  
"todo lo que haces tiene un impacto positivo",0  
"tu amor por lo que haces es inspirador",0  
"el mundo es mejor gracias a personas como tú",0  
"me inspiras con tu perseverancia",0  
"tu amor y generosidad hacen la diferencia",0  
"tienes un don especial para alegrar a los demás",0  
"tus palabras siempre traen consuelo",0  
"siempre ves la belleza en las cosas simples",0  
"te deseo un futuro brillante",0  
"siempre mantienes una actitud admirable",0  
"tu honestidad es invaluable",0  
"tu presencia es un regalo",0  
"eres una fuente inagotable de inspiración",0  
"tus acciones demuestran tu gran corazón",0  
"me encanta tu forma de ver la vida",0  
"siempre encuentras la manera de ayudar",0  
"eres un gran ejemplo de resiliencia",0  
"tu nobleza te hace destacar",0  
"tienes una luz propia que ilumina a los demás",0  
"eres capaz de grandes cosas",0  
"siempre transmites amor y paz",0  
"tu determinación es digna de admirar",0  
"te deseo un camino lleno de bendiciones",0  
"sigues siendo una persona maravillosa",0  
"tu entusiasmo hace que todo sea mejor",0  
"siempre dejas una huella positiva",0  
"sigues inspirando a quienes te rodean",0  
"me encanta tu autenticidad",0  
"tu presencia es sinónimo de alegría",0  
"tienes el poder de transformar vidas",0  
"siempre buscas lo mejor para los demás",0  
"te mereces todo el amor del mundo",0  
"cada paso que das es un paso hacia el éxito",0  
"tu confianza es admirable",0  
"me alegra mucho verte feliz",0  
"eres un pilar para quienes te rodean",0  
"tu dedicación es digna de reconocimiento",0  
"tu amabilidad ilumina cualquier lugar",0  
"siempre buscas el bien en todo",0  
"tu trabajo y esfuerzo son dignos de admiración",0  
"cada desafío te hace más fuerte",0  
"tienes una esencia única y especial",0  
"tu positivismo transforma todo",0  
"sigues demostrando lo increíble que eres",0  
"te mereces cada éxito que logras",0  
"tu energía hace que todo sea mejor",0  
"te deseo paz, amor y felicidad",0 
"Siempre das lo mejor de ti",0
"Tu honestidad es inspiradora",0
"Cada día es una oportunidad para aprender",0
"Me encanta conversar contigo",0
"Siempre encuentras una solución",0
"Eres una persona confiable",0
"Tu creatividad no tiene límites",0
"Siempre mantienes una actitud positiva",0
"Tu entusiasmo es admirable",0
"Gracias por tu paciencia",0
"Tu amistad es invaluable",0
"Eres un gran apoyo para los demás",0
"Siempre aportas buenas ideas",0
"Tienes un gran talento",0
"Tu determinación es admirable",0
"Siempre sabes cómo motivar a los demás",0
"Eres un ejemplo de esfuerzo",0
"Me gusta cómo resuelves los problemas",0
"Tu optimismo es contagioso",0
"Eres una persona increíblemente sabia",0
"Siempre logras superar los desafíos",0
"Tienes un don especial para hacer reír",0
"Siempre muestras empatía",0
"Tu manera de ver el mundo es inspiradora",0
"Eres una persona única y valiosa",0
"Gracias por compartir tu alegría",0
"Siempre sacas lo mejor de cada situación",0
"Tu perseverancia es admirable",0
"Cada día es una nueva oportunidad",0
"Siempre me inspiras con tu actitud",0
"Me encanta tu forma de pensar",0
"Tu energía positiva es contagiosa",0
"Siempre buscas soluciones en lugar de problemas",0
"Tu esfuerzo es digno de admiración",0
"Eres una persona excepcional",0
"Siempre tienes una palabra de aliento",0
"Tu fortaleza me motiva",0
"Siempre estás dispuesto a ayudar",0
"Tu alegría ilumina cualquier lugar",0
"Me encanta cómo te expresas",0
"Eres muy generoso con tu tiempo",0
"Siempre encuentras el lado bueno de las cosas",0
"Tu humildad es admirable",0
"Eres una persona muy especial",0
"Gracias por ser tan comprensivo",0
"Siempre transmites confianza",0
"Tu actitud positiva es inspiradora",0
"Eres un ejemplo de bondad",0
"Tu amabilidad marca la diferencia",0
"Siempre ves lo mejor en las personas",0
"Eres una persona muy sabia",0
"Me gusta aprender de ti",0
"Siempre tienes buenos consejos",0
"Eres una persona llena de luz",0
"Tu generosidad no tiene límites",0
"Siempre sabes cómo hacer sentir bien a los demás",0
"Tu empatía es digna de admiración",0
"Eres un verdadero amigo",0
"Siempre me motivas a mejorar",0
"Tienes una visión única del mundo",0
"Siempre encuentras la mejor solución",0
"Eres un ejemplo de integridad",0
"Tu sinceridad es admirable",0
"Siempre te esfuerzas por dar lo mejor",0
"Tienes un corazón enorme",0
"Siempre encuentras razones para sonreír",0
"Eres una fuente de inspiración",0
"Me encanta trabajar contigo",0
"Siempre estás ahí cuando se te necesita",0
"Tu actitud positiva cambia todo",0
"Siempre ves el lado bueno de la vida",0
"Eres una persona muy noble",0
"Tu dedicación es admirable",0
"Siempre mantienes una sonrisa",0
"Tu apoyo significa mucho para mí",0
"Siempre das lo mejor de ti en todo",0
"Tu paciencia es un gran ejemplo",0
"Siempre tienes un gesto amable",0
"Eres una persona increíblemente fuerte",0
"Siempre encuentras palabras de aliento",0
"Me alegra tenerte en mi vida",0
"Eres un modelo a seguir",0
"Siempre das lo mejor de ti",0
"Tu esfuerzo es admirable",0
"Siempre actúas con generosidad",0
"Tu bondad es una bendición",0
"Siempre muestras respeto",0
"Tu actitud es ejemplar",0
"Eres una persona llena de amor",0
"Siempre compartes lo mejor de ti",0
"Eres alguien en quien se puede confiar",0
"Siempre estás dispuesto a aprender",0
"Tu energía hace la diferencia",0
"Eres un regalo para quienes te rodean",0
"Siempre afrontas la vida con valentía",0
"Tu corazón es inmenso",0
"Eres una persona sumamente generosa",0
"Siempre sabes cómo animar a los demás",0
"Tu amabilidad hace el mundo mejor",0
"Siempre inspiras confianza",0
"Eres un ser humano excepcional",0
"Siempre das un gran ejemplo",0
"Tu positivismo es admirable",0
"Siempre tienes una actitud servicial",0
"Tu dedicación es un ejemplo a seguir",0
"Eres una fuente de alegría",0
"Siempre demuestras empatía",0
"Tu honestidad es un valor inmenso",0
"Siempre encuentras la manera de ayudar",0
"Eres un apoyo invaluable",0
"Siempre das palabras de aliento",0
"Tu amistad es un tesoro",0
"Siempre ves el potencial en los demás",0
"Tu amabilidad es infinita",0
"Siempre mantienes una actitud optimista",0
"Eres una persona digna de admiración",0
"Siempre encuentras razones para ser feliz",0
"Tu pasión por la vida es inspiradora",0
"Siempre buscas crecer como persona",0
"Eres una fuente de amor y paz",0
"Siempre tienes una palabra de aliento",0
"Tu generosidad hace la diferencia",0
"Siempre muestras gratitud",0
"Tu entusiasmo es refrescante",0
"Siempre te esfuerzas por dar lo mejor",0
"Eres un ejemplo de superación",0
"Siempre encuentras la forma de avanzar",0
"Tu actitud positiva mejora cualquier situación",0
"Siempre pones amor en lo que haces",0
"Tu bondad es inigualable",0
"Siempre piensas en los demás",0
"Eres un faro de esperanza",0
"Siempre compartes sabiduría",0
"Tu paciencia es inspiradora",0
"Siempre ofreces tu apoyo",0
"Tu dedicación no tiene comparación",0
"Siempre muestras respeto y amor",0
"Eres un pilar para quienes te rodean",0
"Siempre traes luz a los demás",0
"Tu generosidad no tiene límites",0
"Siempre brindas apoyo incondicional",0
"Eres una persona con un gran corazón",0
"Siempre das sin esperar nada a cambio",0
"Tu amabilidad es una bendición",0
"Siempre das lo mejor de ti",0
"Eres una persona muy valiosa",0
"Tu bondad cambia el mundo",0
"Cada día es una nueva oportunidad para brillar",0
"Me alegra compartir este momento contigo",0
"Tu presencia hace la diferencia",0
"Eres una luz en la vida de muchas personas",0
"Tu determinación es inspiradora",0
"Siempre tienes una palabra amable",0
"Gracias por ser parte de mi vida",0
"Eres un gran apoyo para los demás",0
"Tu actitud positiva es admirable",0
"Siempre haces que los demás se sientan bien",0
"Tienes un talento increíble",0
"Eres digno de admiración",0
"Cada día nos enseñas algo nuevo",0
"Siempre tienes una solución para todo",0
"Tu alegría es contagiosa",0
"Tu amabilidad hace del mundo un mejor lugar",0
"Eres un gran compañero",0
"Tu empatía es admirable",0
"Eres un ser humano maravilloso",0
"Siempre encuentras la forma de ayudar",0
"Tus ideas son brillantes",0
"Tu confianza en ti mismo es inspiradora",0
"Eres una persona increíblemente fuerte",0
"Tienes un espíritu inquebrantable",0
"Eres muy considerado con los demás",0
"Tu esfuerzo no pasa desapercibido",0
"Eres un ejemplo de perseverancia",0
"Tienes una gran capacidad de adaptación",0
"Siempre estás dispuesto a aprender",0
"Tu actitud positiva transforma cualquier ambiente",0
"Eres una persona confiable",0
"Tienes una forma única de ver la vida",0
"Siempre dejas una huella positiva en los demás",0
"Eres muy generoso con tu tiempo y energía",0
"Tu determinación te llevará lejos",0
"Siempre sacas lo mejor de cada situación",0
"Eres una persona de gran corazón",0
"Tu honestidad es un valor invaluable",0
"Siempre logras lo que te propones",0
"Eres una fuente de inspiración para muchos",0
"Tu optimismo es admirable",0
"Siempre buscas la manera de mejorar",0
"Eres una persona llena de amor y luz",0
"Gracias por ser un ejemplo de bondad",0
"Eres un modelo a seguir",0
"Tienes una actitud que motiva a los demás",0
"Tu creatividad no tiene límites",0
"Siempre tienes una sonrisa para compartir",0
"Eres increíblemente resiliente",0
"Eres una persona que transmite paz",0
"Tienes una mente brillante y curiosa",0
"Tu capacidad de escuchar es invaluable",0
"Siempre estás dispuesto a ayudar",0
"Eres una persona llena de talento",0
"Tu bondad ilumina el camino de otros",0
"Eres un ser humano excepcional",0
"Tu manera de ver la vida es inspiradora",0
"Siempre tienes palabras de aliento",0
"Tienes un espíritu noble",0
"Eres una persona muy especial",0
"Tu humildad te hace aún más grande",0
"Tienes el don de hacer sentir bien a los demás",0
"Tu esfuerzo es digno de reconocimiento",0
"Siempre aportas buenas ideas",0
"Tu presencia es muy reconfortante",0
"Eres un ser de luz",0
"Siempre tienes un gesto amable",0
"Eres una persona con un gran propósito",0
"Tu amor por la vida es contagioso",0
"Siempre buscas lo mejor en las personas",0
"Eres una fuente inagotable de energía positiva",0
"Tu risa alegra el día de los demás",0
"Eres un gran motivador",0
"Tu esencia es única y valiosa",0
"Siempre das lo mejor de ti en todo",0
"Eres una persona llena de sabiduría",0
"Me encanta cómo enfrentas los desafíos",0
"Tienes un carácter fuerte y admirable",0
"Tu luz nunca deja de brillar",0
"Siempre encuentras el lado bueno de las cosas",0
"Eres un ser increíblemente especial",0
"Tienes el don de hacer que las personas se sientan valoradas",0
"Eres un verdadero amigo",0
"Tu energía transforma cualquier lugar",0
"Siempre estás dispuesto a dar lo mejor de ti",0
"Tu espíritu positivo es un regalo para todos",0
"Eres una inspiración diaria",0
"Tu compasión es admirable",0
"Eres un ser humano con un alma hermosa",0
"Siempre aportas algo valioso",0
"Eres un ejemplo de determinación",0
"Tu amor por los demás se nota en cada acción",0
"Siempre buscas maneras de mejorar",0
"Eres una persona increíblemente generosa",0
"Siempre crees en lo mejor de los demás",0
"Eres un ser humano lleno de gratitud",0
"Siempre tienes algo positivo que decir",0
"Tu fortaleza es inspiradora",0
"Siempre encuentras una manera de alegrar el día",0
"Eres una persona muy compasiva",0
"Tu determinación te hace invencible",0
"Siempre das buenos consejos",0
"Tu bondad no tiene límites",0
"Eres alguien en quien se puede confiar",0
"Siempre sacas lo mejor de cada situación",0
"Eres un ser humano excepcionalmente valioso",0
"Tienes una gran capacidad para inspirar",0
"Siempre encuentras una forma de superar los obstáculos",0
"Eres una persona llena de amor y empatía",0
